Event_ID,Zone_ID,Date,Month,Season,Hour,Detection_Status,Outcome,Method,Response_Time_Min,Weather_Condition
EVT_001_00001,SGR_ZONE_001,2023-01-01,1,Winter,23,1,Alert Triggered,Vehicle,28.0,Cloudy
EVT_001_00002,SGR_ZONE_001,2023-01-01,1,Winter,22,1,Alert Triggered,Foot Patrol,25.0,Cloudy
EVT_001_00003,SGR_ZONE_001,2023-01-01,1,Winter,1,1,Neutralized,Vehicle,46.0,Clear
EVT_001_00004,SGR_ZONE_001,2023-01-01,1,Winter,4,0,Undetected,Foot Patrol,,Cloudy
EVT_001_00005,SGR_ZONE_001,2023-03-02,3,Spring,2,1,Retreated,Foot Patrol,29.0,Snow
EVT_001_00006,SGR_ZONE_001,2023-03-02,3,Spring,2,0,Undetected,Foot Patrol,,Cloudy
EVT_001_00007,SGR_ZONE_001,2023-03-02,3,Spring,0,1,Retreated,Foot Patrol,18.0,Clear
EVT_001_00008,SGR_ZONE_001,2023-04-01,4,Spring,1,0,Undetected,Foot Patrol,,Cloudy
EVT_001_00009,SGR_ZONE_001,2023-05-31,5,Spring,2,1,Retreated,Unknown,35.0,Snow
EVT_001_00010,SGR_ZONE_001,2023-08-29,8,Monsoon,23,1,Retreated,Foot Patrol,22.0,Cloudy
EVT_001_00011,SGR_ZONE_001,2023-12-27,12,Winter,23,1,Neutralized,Foot Patrol,5.0,Clear
EVT_001_00012,SGR_ZONE_001,2023-12-27,12,Winter,22,1,Retreated,Drone (Suspicious),37.0,Cloudy
EVT_001_00013,SGR_ZONE_001,2023-12-27,12,Winter,3,1,Alert Triggered,Unknown,16.0,Clear
EVT_001_00014,SGR_ZONE_001,2023-12-27,12,Winter,22,0,Undetected,Foot Patrol,,Fog
EVT_001_00015,SGR_ZONE_001,2024-01-26,1,Winter,1,1,Retreated,Drone (Suspicious),43.0,Clear
EVT_001_00016,SGR_ZONE_001,2024-01-26,1,Winter,1,1,Retreated,Foot Patrol,36.0,Cloudy
EVT_001_00017,SGR_ZONE_001,2024-01-26,1,Winter,23,1,Alert Triggered,Foot Patrol,49.0,Cloudy
EVT_001_00018,SGR_ZONE_001,2024-01-26,1,Winter,23,1,Retreated,Vehicle,32.0,Snow
EVT_001_00019,SGR_ZONE_001,2024-02-25,2,Winter,2,1,Alert Triggered,Unknown,43.0,Snow
EVT_001_00020,SGR_ZONE_001,2024-02-25,2,Winter,23,0,Undetected,Foot Patrol,,Clear
EVT_001_00021,SGR_ZONE_001,2024-02-25,2,Winter,23,0,Undetected,Vehicle,,Cloudy
EVT_001_00022,SGR_ZONE_001,2024-02-25,2,Winter,1,0,Undetected,Foot Patrol,,Clear
EVT_001_00023,SGR_ZONE_001,2024-02-25,2,Winter,23,1,Retreated,Foot Patrol,56.0,Clear
EVT_001_00024,SGR_ZONE_001,2024-03-26,3,Spring,4,1,Alert Triggered,Foot Patrol,27.0,Clear
EVT_001_00025,SGR_ZONE_001,2024-03-26,3,Spring,3,0,Undetected,Foot Patrol,,Cloudy
EVT_001_00026,SGR_ZONE_001,2024-03-26,3,Spring,4,1,Retreated,Drone (Suspicious),21.0,Fog
EVT_001_00027,SGR_ZONE_001,2024-04-25,4,Spring,0,1,Alert Triggered,Foot Patrol,10.0,Cloudy
EVT_001_00028,SGR_ZONE_001,2024-04-25,4,Spring,2,0,Undetected,Foot Patrol,,Fog
EVT_001_00029,SGR_ZONE_001,2024-04-25,4,Spring,2,1,Neutralized,Unknown,44.0,Clear
EVT_001_00030,SGR_ZONE_001,2024-05-25,5,Spring,23,1,Alert Triggered,Unknown,39.0,Clear
EVT_001_00031,SGR_ZONE_001,2024-05-25,5,Spring,23,1,Retreated,Foot Patrol,5.0,Clear
