Zone_ID,Week,Zone_Area_SqKm,Terrain_Difficulty,Patrols_Conducted,Morning_Shifts,Afternoon_Shifts,Night_Shifts,Coverage_Pct,Blind_Spots,Max_Gap_Hours,Vehicles_Available,Drones_Deployed,Readiness_Score,Alert_Level
SGR_ZONE_001,1,6.87,0.97,20,7,6,7,100.0,0,8.1,2,0,81.0,GREEN
SGR_ZONE_001,2,6.87,0.97,18,6,5,7,86.5,1,9.0,3,0,83.6,GREEN
SGR_ZONE_001,3,6.87,0.97,20,7,6,7,100.0,0,8.1,3,0,91.0,GREEN
SGR_ZONE_001,4,6.87,0.97,20,7,6,7,100.0,0,8.1,2,0,81.0,GREEN
SGR_ZONE_001,5,6.87,0.97,17,5,5,7,82.7,1,9.5,1,0,62.1,AMBER
SGR_ZONE_001,6,6.87,0.97,16,5,4,7,79.6,2,10.1,2,0,68.8,AMBER
SGR_ZONE_001,7,6.87,0.97,20,7,6,7,100.0,0,8.1,1,0,71.0,GREEN
SGR_ZONE_001,8,6.87,0.97,18,6,5,7,94.2,0,9.0,2,0,78.7,GREEN
SGR_ZONE_001,9,6.87,0.97,19,6,5,8,100.0,0,8.5,3,0,94.0,GREEN
SGR_ZONE_001,10,6.87,0.97,18,6,5,7,90.7,0,9.0,1,0,67.3,AMBER
SGR_ZONE_001,11,6.87,0.97,18,6,5,7,97.9,0,9.0,3,0,90.2,GREEN
SGR_ZONE_001,12,6.87,0.97,20,7,6,7,100.0,0,8.1,2,0,81.0,GREEN
SGR_ZONE_002,1,14.34,0.98,31,10,9,12,71.7,2,5.3,1,0,70.7,GREEN
SGR_ZONE_002,2,14.34,0.98,31,10,9,12,77.4,2,5.3,3,0,92.9,GREEN
SGR_ZONE_002,3,14.34,0.98,33,11,9,13,73.6,2,5.0,1,0,74.4,GREEN
SGR_ZONE_002,4,14.34,0.98,32,11,9,12,83.1,1,5.1,2,0,87.2,GREEN
SGR_ZONE_002,5,14.34,0.98,33,11,9,13,76.4,2,5.0,2,0,85.6,GREEN
SGR_ZONE_002,6,14.34,0.98,31,10,9,12,75.6,2,5.3,1,0,72.2,GREEN
SGR_ZONE_002,7,14.34,0.98,31,10,9,12,78.7,2,5.3,2,0,83.5,GREEN
SGR_ZONE_002,8,14.34,0.98,31,10,9,12,80.5,1,5.3,2,0,86.2,GREEN
SGR_ZONE_002,9,14.34,0.98,33,11,9,13,72.4,2,5.0,1,0,74.0,GREEN
SGR_ZONE_002,10,14.34,0.98,34,11,10,13,78.1,2,4.8,1,0,76.3,GREEN
SGR_ZONE_002,11,14.34,0.98,31,10,9,12,81.6,1,5.3,1,0,76.6,GREEN
SGR_ZONE_002,12,14.34,0.98,30,10,9,11,69.2,3,5.5,1,0,64.7,AMBER
SGR_ZONE_003,1,2.97,0.99,9,3,2,4,100.0,0,18.5,3,0,82.0,GREEN
SGR_ZONE_003,2,2.97,0.99,8,2,2,4,98.0,0,20.8,3,0,81.2,GREEN
SGR_ZONE_003,3,2.97,0.99,8,2,2,4,100.0,0,20.8,1,0,62.0,AMBER
SGR_ZONE_003,4,2.97,0.99,7,2,2,3,87.9,1,23.8,1,0,52.2,AMBER
SGR_ZONE_003,5,2.97,0.99,9,3,2,4,100.0,0,18.5,2,0,72.0,GREEN
SGR_ZONE_003,6,2.97,0.99,6,2,1,3,71.0,2,27.7,3,0,63.4,AMBER
SGR_ZONE_003,7,2.97,0.99,10,3,3,4,100.0,0,16.6,2,0,72.0,GREEN
SGR_ZONE_003,8,2.97,0.99,8,2,2,4,100.0,0,20.8,3,0,82.0,GREEN
SGR_ZONE_003,9,2.97,0.99,10,3,3,4,100.0,0,16.6,3,0,82.0,GREEN
SGR_ZONE_003,10,2.97,0.99,6,2,1,3,80.8,1,27.7,3,0,69.3,AMBER
