Event_ID,Zone_ID,Camera_ID,Timestamp,Hour,Detection_Type,Detection_Confidence,Movement_Level
CAM_EVT_00001,SGR_ZONE_103,CAM_103_01,2026-08-21 18:22:10,18,Human,0.9261,0.6476
CAM_EVT_00002,SGR_ZONE_088,CAM_088_01,2026-08-21 01:23:43,1,Vehicle,0.9053,0.2154
CAM_EVT_00003,SGR_ZONE_038,CAM_038_02,2026-08-21 21:43:24,21,Human,0.7532,0.4282
CAM_EVT_00004,SGR_ZONE_049,CAM_049_03,2026-08-21 15:14:46,15,Vehicle,0.7405,0.4191
CAM_EVT_00005,SGR_ZONE_051,CAM_051_03,2026-08-21 06:20:08,6,Animal/False Alarm,0.8354,0.845
CAM_EVT_00006,SGR_ZONE_018,CAM_018_01,2026-08-21 20:01:19,20,Animal/False Alarm,0.9344,0.4285
CAM_EVT_00007,SGR_ZONE_092,CAM_092_03,2026-08-21 02:13:16,2,Vehicle,0.8769,0.8249
CAM_EVT_00008,SGR_ZONE_050,CAM_050_02,2026-08-21 17:25:43,17,Human,0.7603,0.6258
CAM_EVT_00009,SGR_ZONE_014,CAM_014_03,2026-08-21 07:20:15,7,Animal/False Alarm,0.7257,0.347
CAM_EVT_00010,SGR_ZONE_082,CAM_082_03,2026-08-21 12:40:28,12,Animal/False Alarm,0.8035,0.4107
CAM_EVT_00011,SGR_ZONE_015,CAM_015_01,2026-08-21 11:07:23,11,Human,0.9862,0.7792
CAM_EVT_00012,SGR_ZONE_063,CAM_063_03,2026-08-21 04:41:38,4,Human,0.9063,0.7926
CAM_EVT_00013,SGR_ZONE_041,CAM_041_03,2026-08-21 22:22:23,22,Animal/False Alarm,0.8303,0.2716
CAM_EVT_00014,SGR_ZONE_037,CAM_037_03,2026-08-21 02:36:46,2,Vehicle,0.7797,0.6209
CAM_EVT_00015,SGR_ZONE_131,CAM_131_01,2026-08-21 08:14:14,8,Vehicle,0.7684,0.3921
CAM_EVT_00016,SGR_ZONE_090,CAM_090_02,2026-08-21 16:51:31,16,Human,0.7585,0.8718
CAM_EVT_00017,SGR_ZONE_132,CAM_132_02,2026-08-21 03:12:31,3,Human,0.8753,0.6049
CAM_EVT_00018,SGR_ZONE_071,CAM_071_03,2026-08-21 20:05:27,20,Vehicle,0.9553,0.6683
CAM_EVT_00019,SGR_ZONE_028,CAM_028_02,2026-08-21 06:32:00,6,Animal/False Alarm,0.7941,0.2916
CAM_EVT_00020,SGR_ZONE_121,CAM_121_03,2026-08-21 06:05:07,6,Human,0.9372,0.8455
CAM_EVT_00021,SGR_ZONE_137,CAM_137_02,2026-08-21 14:58:53,14,Human,0.7348,0.4532
CAM_EVT_00022,SGR_ZONE_096,CAM_096_01,2026-08-21 11:38:01,11,Human,0.7188,0.3904
CAM_EVT_00023,SGR_ZONE_131,CAM_131_01,2026-08-21 01:01:27,1,Human,0.9893,0.4001
CAM_EVT_00024,SGR_ZONE_054,CAM_054_03,2026-08-21 01:52:43,1,Human,0.9634,0.3797
CAM_EVT_00025,SGR_ZONE_068,CAM_068_03,2026-08-21 23:04:51,23,Vehicle,0.7689,0.7462
CAM_EVT_00026,SGR_ZONE_098,CAM_098_02,2026-08-21 08:59:58,8,Human,0.9368,0.7988
CAM_EVT_00027,SGR_ZONE_070,CAM_070_01,2026-08-21 02:18:19,2,Animal/False Alarm,0.7945,0.3652
CAM_EVT_00028,SGR_ZONE_096,CAM_096_03,2026-08-21 17:39:00,17,Human,0.9004,0.4901
CAM_EVT_00029,SGR_ZONE_011,CAM_011_01,2026-08-21 02:06:59,2,Human,0.9682,0.858
CAM_EVT_00030,SGR_ZONE_144,CAM_144_02,2026-08-21 00:47:11,0,Animal/False Alarm,0.8498,0.3956
CAM_EVT_00031,SGR_ZONE_037,CAM_037_03,2026-08-21 15:02:19,15,Human,0.7809,0.7253
CAM_EVT_00032,SGR_ZONE_054,CAM_054_01,2026-08-21 05:39:19,5,Vehicle,0.7244,0.3212
CAM_EVT_00033,SGR_ZONE_112,CAM_112_02,2026-08-21 13:17:01,13,Animal/False Alarm,0.9824,0.4129
CAM_EVT_00034,SGR_ZONE_054,CAM_054_03,2026-08-21 00:13:20,0,Vehicle,0.765,0.7341
CAM_EVT_00035,SGR_ZONE_048,CAM_048_03,2026-08-21 18:21:54,18,Vehicle,0.7893,0.6069
CAM_EVT_00036,SGR_ZONE_022,CAM_022_02,2026-08-21 07:26:26,7,Vehicle,0.9839,0.5651
CAM_EVT_00037,SGR_ZONE_021,CAM_021_02,2026-08-21 15:18:03,15,Vehicle,0.894,0.8481
CAM_EVT_00038,SGR_ZONE_035,CAM_035_01,2026-08-21 13:52:05,13,Human,0.9884,0.5525
CAM_EVT_00039,SGR_ZONE_099,CAM_099_01,2026-08-21 02:59:32,2,Animal/False Alarm,0.7959,0.6146
CAM_EVT_00040,SGR_ZONE_116,CAM_116_03,2026-08-21 02:17:24,2,Human,0.7554,0.4014
CAM_EVT_00041,SGR_ZONE_054,CAM_054_02,2026-08-21 14:21:22,14,Animal/False Alarm,0.7204,0.3567
CAM_EVT_00042,SGR_ZONE_127,CAM_127_03,2026-08-21 08:42:53,8,Human,0.7935,0.8365
CAM_EVT_00043,SGR_ZONE_039,CAM_039_01,2026-08-21 23:12:59,23,Human,0.8217,0.3922
CAM_EVT_00044,SGR_ZONE_135,CAM_135_01,2026-08-21 13:15:13,13,Vehicle,0.7563,0.2532
CAM_EVT_00045,SGR_ZONE_115,CAM_115_03,2026-08-21 21:50:24,21,Human,0.8679,0.5289
CAM_EVT_00046,SGR_ZONE_063,CAM_063_02,2026-08-21 19:41:05,19,Human,0.8713,0.2229
CAM_EVT_00047,SGR_ZONE_015,CAM_015_02,2026-08-21 11:43:04,11,Vehicle,0.7947,0.8209
CAM_EVT_00048,SGR_ZONE_103,CAM_103_02,2026-08-21 22:39:51,22,Human,0.8541,0.6055
CAM_EVT_00049,SGR_ZONE_144,CAM_144_01,2026-08-21 23:18:27,23,Animal/False Alarm,0.9072,0.2308
CAM_EVT_00050,SGR_ZONE_058,CAM_058_03,2026-08-21 08:11:52,8,Human,0.7535,0.2607
CAM_EVT_00051,SGR_ZONE_129,CAM_129_02,2026-08-21 21:47:24,21,Animal/False Alarm,0.8283,0.3798
CAM_EVT_00052,SGR_ZONE_117,CAM_117_01,2026-08-21 21:28:54,21,Animal/False Alarm,0.914,0.6158
CAM_EVT_00053,SGR_ZONE_076,CAM_076_02,2026-08-21 13:27:04,13,Human,0.9198,0.2108
CAM_EVT_00054,SGR_ZONE_047,CAM_047_01,2026-08-21 15:25:25,15,Human,0.9841,0.3315
CAM_EVT_00055,SGR_ZONE_085,CAM_085_03,2026-08-21 09:53:04,9,Human,0.8348,0.6873
CAM_EVT_00056,SGR_ZONE_100,CAM_100_02,2026-08-21 00:55:04,0,Human,0.7044,0.9001
CAM_EVT_00057,SGR_ZONE_004,CAM_004_03,2026-08-21 19:23:11,19,Animal/False Alarm,0.9515,0.6773
CAM_EVT_00058,SGR_ZONE_124,CAM_124_01,2026-08-21 02:00:32,2,Vehicle,0.8582,0.9061
CAM_EVT_00059,SGR_ZONE_074,CAM_074_03,2026-08-21 01:50:49,1,Human,0.7201,0.2756
CAM_EVT_00060,SGR_ZONE_035,CAM_035_03,2026-08-21 01:50:40,1,Human,0.7925,0.8337
CAM_EVT_00061,SGR_ZONE_135,CAM_135_02,2026-08-21 03:24:20,3,Vehicle,0.8824,0.8581
CAM_EVT_00062,SGR_ZONE_138,CAM_138_01,2026-08-21 15:35:17,15,Vehicle,0.934,0.9429
CAM_EVT_00063,SGR_ZONE_096,CAM_096_03,2026-08-21 12:22:24,12,Animal/False Alarm,0.9489,0.5217
CAM_EVT_00064,SGR_ZONE_099,CAM_099_01,2026-08-21 21:12:58,21,Human,0.855,0.5724
CAM_EVT_00065,SGR_ZONE_019,CAM_019_01,2026-08-21 08:06:27,8,Human,0.978,0.8354
CAM_EVT_00066,SGR_ZONE_128,CAM_128_03,2026-08-21 11:24:51,11,Vehicle,0.7242,0.2688
CAM_EVT_00067,SGR_ZONE_123,CAM_123_01,2026-08-21 12:52:41,12,Vehicle,0.9296,0.7922
CAM_EVT_00068,SGR_ZONE_142,CAM_142_03,2026-08-21 10:17:46,10,Human,0.9137,0.6094
CAM_EVT_00069,SGR_ZONE_076,CAM_076_01,2026-08-21 06:45:12,6,Vehicle,0.8793,0.2758
CAM_EVT_00070,SGR_ZONE_137,CAM_137_02,2026-08-21 05:18:07,5,Animal/False Alarm,0.7425,0.585
CAM_EVT_00071,SGR_ZONE_109,CAM_109_01,2026-08-21 12:03:35,12,Animal/False Alarm,0.7686,0.8808
CAM_EVT_00072,SGR_ZONE_070,CAM_070_03,2026-08-21 09:25:18,9,Vehicle,0.8096,0.7288
CAM_EVT_00073,SGR_ZONE_039,CAM_039_02,2026-08-21 19:27:07,19,Vehicle,0.7033,0.5515
CAM_EVT_00074,SGR_ZONE_061,CAM_061_03,2026-08-21 16:24:55,16,Vehicle,0.9164,0.6375
CAM_EVT_00075,SGR_ZONE_117,CAM_117_02,2026-08-21 14:20:15,14,Animal/False Alarm,0.9836,0.617
CAM_EVT_00076,SGR_ZONE_118,CAM_118_01,2026-08-21 19:56:17,19,Animal/False Alarm,0.7214,0.6154
CAM_EVT_00077,SGR_ZONE_047,CAM_047_01,2026-08-21 21:53:02,21,Human,0.7854,0.9469
CAM_EVT_00078,SGR_ZONE_144,CAM_144_03,2026-08-21 07:37:11,7,Human,0.7815,0.9128
