Zone_ID,Human_Detection_Count,Vehicle_Detection_Count,Avg_Camera_Confidence,Night_Movement_Count,Camera_Activity_Score
SGR_ZONE_001,6,2,0.8293,2,0.42
SGR_ZONE_002,1,8,0.8452,3,0.3967
SGR_ZONE_003,5,2,0.8546,2,0.37
SGR_ZONE_004,3,3,0.8414,1,0.2767
SGR_ZONE_005,3,5,0.814,3,0.3967
SGR_ZONE_006,3,0,0.7752,3,0.23
SGR_ZONE_007,3,0,0.823,2,0.2033
SGR_ZONE_008,3,1,0.8789,2,0.2367
SGR_ZONE_009,1,3,0.8067,3,0.23
SGR_ZONE_010,4,4,0.8545,5,0.4667
SGR_ZONE_011,2,2,0.8697,3,0.2467
SGR_ZONE_012,8,3,0.8437,7,0.6867
SGR_ZONE_013,3,2,0.8531,4,0.3233
SGR_ZONE_014,7,7,0.855,5,0.7167
SGR_ZONE_015,6,3,0.8129,5,0.5333
SGR_ZONE_016,4,5,0.8155,2,0.42
SGR_ZONE_017,5,5,0.8569,5,0.55
SGR_ZONE_018,6,1,0.8539,2,0.3867
SGR_ZONE_019,5,3,0.8338,6,0.51
SGR_ZONE_020,4,5,0.8796,6,0.5267
SGR_ZONE_021,3,2,0.8369,3,0.2967
SGR_ZONE_022,4,2,0.8999,3,0.3467
SGR_ZONE_023,2,3,0.768,2,0.2533
SGR_ZONE_024,1,2,0.9217,3,0.1967
SGR_ZONE_025,3,2,0.8175,0,0.2167
SGR_ZONE_026,3,2,0.8555,4,0.3233
SGR_ZONE_027,5,1,0.8814,3,0.3633
SGR_ZONE_028,3,2,0.8515,4,0.3233
SGR_ZONE_029,4,1,0.8259,2,0.2867
SGR_ZONE_030,8,1,0.8765,3,0.5133
SGR_ZONE_031,3,2,0.8057,3,0.2967
SGR_ZONE_032,1,3,0.865,3,0.23
SGR_ZONE_033,2,4,0.862,3,0.3133
SGR_ZONE_034,1,5,0.8296,4,0.3233
SGR_ZONE_035,6,1,0.8565,1,0.36
SGR_ZONE_036,6,2,0.845,3,0.4467
SGR_ZONE_037,3,3,0.7745,3,0.33
SGR_ZONE_038,4,1,0.7903,3,0.3133
SGR_ZONE_039,4,3,0.8052,6,0.46
SGR_ZONE_040,0,4,0.8734,2,0.1867
SGR_ZONE_041,3,1,0.8436,4,0.29
SGR_ZONE_042,4,1,0.8072,5,0.3667
SGR_ZONE_043,2,3,0.8647,2,0.2533
SGR_ZONE_044,0,0,0.7816,0,0.0
SGR_ZONE_045,1,3,0.799,4,0.2567
SGR_ZONE_046,1,1,0.8245,3,0.1633
SGR_ZONE_047,5,4,0.8776,4,0.49
SGR_ZONE_048,3,3,0.8054,1,0.2767
