Zone_ID,Historical_Event_Count,Successful_Detection_Count,Detection_Rate,Average_Response_Time,Night_Event_Count,Historical_Risk
SGR_ZONE_001,36,26,0.7222,32.38,36,0.4077
SGR_ZONE_002,42,31,0.7381,32.1,42,0.4349
SGR_ZONE_003,44,32,0.7273,35.28,44,0.4606
SGR_ZONE_004,41,30,0.7317,31.67,41,0.4301
SGR_ZONE_005,41,32,0.7805,31.44,41,0.4122
SGR_ZONE_006,39,28,0.7179,34.54,39,0.4332
SGR_ZONE_007,17,12,0.7059,30.25,17,0.2994
SGR_ZONE_008,37,26,0.7027,31.54,37,0.4173
SGR_ZONE_009,13,9,0.6923,26.22,13,0.2682
SGR_ZONE_010,33,26,0.7879,30.23,33,0.3606
SGR_ZONE_011,45,38,0.8444,32.24,45,0.415
SGR_ZONE_012,38,29,0.7632,33.69,38,0.4089
SGR_ZONE_013,22,18,0.8182,27.89,22,0.2803
SGR_ZONE_014,29,22,0.7586,35.23,29,0.365
SGR_ZONE_015,26,23,0.8846,28.61,26,0.282
SGR_ZONE_016,36,28,0.7778,33.0,36,0.3903
SGR_ZONE_017,34,27,0.7941,34.15,34,0.3771
SGR_ZONE_018,48,34,0.7083,32.18,48,0.4793
SGR_ZONE_019,18,14,0.7778,32.36,18,0.2869
SGR_ZONE_020,25,21,0.84,28.29,25,0.2909
SGR_ZONE_021,50,37,0.74,34.16,50,0.4861
SGR_ZONE_022,40,28,0.7,36.86,40,0.4529
SGR_ZONE_023,7,5,0.7143,38.8,7,0.2687
SGR_ZONE_024,52,36,0.6923,33.03,52,0.5103
SGR_ZONE_025,59,45,0.7627,33.04,59,0.5251
SGR_ZONE_026,18,12,0.6667,27.42,18,0.3093
SGR_ZONE_027,29,19,0.6552,35.95,29,0.4036
SGR_ZONE_028,48,36,0.75,34.78,48,0.4734
SGR_ZONE_029,32,20,0.625,28.4,32,0.4059
SGR_ZONE_030,48,32,0.6667,32.0,48,0.4933
SGR_ZONE_031,19,13,0.6842,38.46,19,0.3456
SGR_ZONE_032,41,33,0.8049,29.21,41,0.3963
SGR_ZONE_033,34,26,0.7647,27.77,34,0.3662
SGR_ZONE_034,42,33,0.7857,34.3,42,0.4256
SGR_ZONE_035,24,18,0.75,25.22,24,0.3066
SGR_ZONE_036,44,34,0.7727,31.35,44,0.4316
SGR_ZONE_037,38,33,0.8684,31.85,38,0.366
SGR_ZONE_038,34,29,0.8529,34.21,34,0.3567
SGR_ZONE_039,41,26,0.6341,37.54,41,0.4838
SGR_ZONE_040,48,38,0.7917,28.47,48,0.4378
SGR_ZONE_041,18,13,0.7222,35.69,18,0.3174
SGR_ZONE_042,31,25,0.8065,37.44,31,0.3669
SGR_ZONE_043,49,36,0.7347,33.19,49,0.4791
SGR_ZONE_044,30,21,0.7,33.05,30,0.3839
SGR_ZONE_045,8,7,0.875,27.57,8,0.1807
SGR_ZONE_046,49,34,0.6939,29.26,49,0.4803
SGR_ZONE_047,48,38,0.7917,30.16,48,0.4434
SGR_ZONE_048,32,27,0.8438,28.15,32,0.3285
SGR_ZONE_049,20,14,0.7,34.64,20,0.333
SGR_ZONE_050,38,28,0.7368,35.43,38,0.424
SGR_ZONE_051,53,37,0.6981,29.68,53,0.5027
SGR_ZONE_052,46,28,0.6087,34.36,46,0.5102
SGR_ZONE_053,47,37,0.7872,32.32,47,0.4466
SGR_ZONE_054,43,29,0.6744,30.59,43,0.4578
SGR_ZONE_055,21,18,0.8571,26.28,21,0.2557
SGR_ZONE_056,31,23,0.7419,33.61,31,0.3767
SGR_ZONE_057,25,18,0.72,28.28,25,0.3329
SGR_ZONE_058,42,35,0.8333,35.06,42,0.4114
SGR_ZONE_059,21,18,0.8571,36.44,21,0.2896
SGR_ZONE_060,26,25,0.9615,35.68,26,0.2786
SGR_ZONE_061,36,28,0.7778,29.82,36,0.3797
SGR_ZONE_062,21,17,0.8095,34.88,21,0.3011
SGR_ZONE_063,38,30,0.7895,39.93,38,0.4205
SGR_ZONE_064,24,19,0.7917,36.26,24,0.3288
SGR_ZONE_065,20,15,0.75,26.0,20,0.2867
SGR_ZONE_066,47,35,0.7447,37.29,47,0.478
SGR_ZONE_067,29,20,0.6897,33.95,29,0.3849
SGR_ZONE_068,25,20,0.8,31.55,25,0.3158
SGR_ZONE_069,22,17,0.7727,34.88,22,0.3196
SGR_ZONE_070,45,34,0.7556,27.62,45,0.4307
SGR_ZONE_071,40,33,0.825,26.52,40,0.3746
SGR_ZONE_072,44,39,0.8864,33.92,44,0.4003
SGR_ZONE_073,31,24,0.7742,29.79,31,0.3527
SGR_ZONE_074,30,17,0.5667,31.18,30,0.4243
SGR_ZONE_075,48,30,0.625,33.9,48,0.5142
SGR_ZONE_076,55,45,0.8182,31.49,55,0.478
SGR_ZONE_077,30,22,0.7333,31.86,30,0.3683
SGR_ZONE_078,44,32,0.7273,33.81,44,0.4557
SGR_ZONE_079,47,39,0.8298,31.54,47,0.4291
SGR_ZONE_080,35,26,0.7429,30.62,35,0.3889
SGR_ZONE_081,12,8,0.6667,35.75,12,0.3033
SGR_ZONE_082,27,20,0.7407,27.65,27,0.3348
SGR_ZONE_083,31,24,0.7742,29.67,31,0.3523
SGR_ZONE_084,28,22,0.7857,28.86,28,0.3287
SGR_ZONE_085,37,26,0.7027,37.0,37,0.4355
SGR_ZONE_086,26,17,0.6538,35.0,26,0.3841
SGR_ZONE_087,24,20,0.8333,29.2,24,0.2907
SGR_ZONE_088,46,40,0.8696,29.52,46,0.4028
SGR_ZONE_089,45,34,0.7556,33.56,45,0.4505
SGR_ZONE_090,44,31,0.7045,30.74,44,0.4534
SGR_ZONE_091,14,9,0.6429,42.44,14,0.3452
SGR_ZONE_092,44,33,0.75,30.21,44,0.4357
SGR_ZONE_093,49,40,0.8163,29.65,49,0.4387
SGR_ZONE_094,45,31,0.6889,30.52,45,0.4637
SGR_ZONE_095,31,25,0.8065,34.52,31,0.3572
SGR_ZONE_096,23,20,0.8696,35.45,23,0.2932
SGR_ZONE_097,21,17,0.8095,29.06,21,0.2817
SGR_ZONE_098,35,30,0.8571,31.2,35,0.3509
SGR_ZONE_099,32,24,0.75,31.29,32,0.3718
SGR_ZONE_100,46,31,0.6739,36.45,46,0.4944
SGR_ZONE_101,30,23,0.7667,31.43,30,0.3552
SGR_ZONE_102,31,21,0.6774,30.52,31,0.389
SGR_ZONE_103,33,25,0.7576,27.68,33,0.3627
SGR_ZONE_104,45,36,0.8,29.28,45,0.4207
SGR_ZONE_105,36,29,0.8056,34.55,36,0.3857
SGR_ZONE_106,48,38,0.7917,32.89,48,0.4526
SGR_ZONE_107,28,18,0.6429,22.78,28,0.3584
SGR_ZONE_108,40,26,0.65,35.12,40,0.4646
SGR_ZONE_109,64,46,0.7188,34.3,64,0.5728
SGR_ZONE_110,48,35,0.7292,26.37,48,0.4527
SGR_ZONE_111,32,25,0.7812,29.8,32,0.3559
SGR_ZONE_112,19,16,0.8421,35.12,19,0.2792
SGR_ZONE_113,29,22,0.7586,31.36,29,0.3522
SGR_ZONE_114,49,40,0.8163,30.55,49,0.4417
SGR_ZONE_115,32,26,0.8125,32.15,32,0.3528
SGR_ZONE_116,37,25,0.6757,31.72,37,0.4274
SGR_ZONE_117,44,30,0.6818,31.27,44,0.4631
SGR_ZONE_118,17,15,0.8824,31.87,17,0.243
SGR_ZONE_119,60,40,0.6667,32.15,60,0.5613
SGR_ZONE_120,20,15,0.75,31.33,20,0.3044
SGR_ZONE_121,28,16,0.5714,32.81,28,0.4169
SGR_ZONE_122,31,23,0.7419,33.17,31,0.3753
SGR_ZONE_123,37,28,0.7568,33.61,37,0.4053
SGR_ZONE_124,39,27,0.6923,30.89,39,0.43
SGR_ZONE_125,33,22,0.6667,30.73,33,0.4047
SGR_ZONE_126,51,43,0.8431,33.98,51,0.455
SGR_ZONE_127,24,18,0.75,41.17,24,0.3597
SGR_ZONE_128,21,15,0.7143,29.33,21,0.3159
SGR_ZONE_129,47,39,0.8298,30.95,47,0.4271
SGR_ZONE_130,14,11,0.7857,22.45,14,0.2286
SGR_ZONE_131,36,27,0.75,32.19,36,0.3973
SGR_ZONE_132,18,15,0.8333,28.87,18,0.2558
SGR_ZONE_133,30,24,0.8,32.46,30,0.3469
SGR_ZONE_134,43,30,0.6977,31.27,43,0.4519
SGR_ZONE_135,32,23,0.7188,31.7,32,0.3841
