Zone_ID,Latitude,Longitude,Avg_Elevation,Min_Elevation,Max_Elevation,Avg_Slope,Max_Slope,Terrain_Risk,Temperature,Humidity,Pressure,Visibility,Wind_Speed,Clouds,Visibility_Risk,Weather_Risk,NDVI,Vegetation_Density,Land_Cover,Vegetation_Risk,Coverage_Pct,Blind_Spots,Max_Gap_Hours,Patrols_Conducted,Night_Shifts,Vehicles_Available,Drones_Deployed,Readiness_Score,Patrol_Risk,Historical_Event_Count,Successful_Detection_Count,Detection_Rate,Average_Response_Time,Night_Event_Count,Historical_Risk,Human_Detection_Count,Vehicle_Detection_Count,Avg_Camera_Confidence,Night_Movement_Count,Camera_Activity_Score,Motion_Score,Infrared_Score,Acoustic_Score,Seismic_Score,Sensor_Activity_Score,Environmental_Risk_Score,Operational_Risk_Score,Historical_Risk_Score,Risk_Score,Risk_Level
SGR_ZONE_001,33.95554,74.68847,1878.49,1817.0,2002.0,2.81,12.54,0.0807,0.6764,0.3081,0.125,10000.0,0.7935,0.2396,1,0.1944,0.4897,0.5318,Grassland,0.5191,94.3,0.33,8.72,18.67,7.08,2.08,0.0,79.14,0.1886,36,26,0.7222,32.38,36,0.4077,6,2,0.8293,2,0.42,0.0,0.375,0.5147,0.3542,0.2686,0.2626,0.2509,0.4077,40.89,Medium
SGR_ZONE_002,33.95554,74.71795,1787.15,1746.0,1832.0,1.75,5.7,0.0561,0.8987,0.1931,0.0625,10000.0,0.6429,0.2396,1,0.1763,0.5185,0.6465,Grassland,0.5879,76.52,1.83,5.18,31.75,12.25,1.5,0.0,78.69,0.211,42,31,0.7381,32.1,42,0.4349,1,8,0.8452,3,0.3967,0.5939,0.379,0.6278,0.2439,0.4837,0.2723,0.3027,0.4349,54.39,High
SGR_ZONE_003,33.95554,74.74744,1720.53,1662.0,1787.0,2.21,8.75,0.0547,0.9384,0.0938,0.0625,10000.0,0.2947,0.3125,1,0.2201,0.4645,0.4992,Grassland,0.4995,93.38,0.42,21.37,8.0,3.67,2.33,0.0,70.86,0.3935,44,32,0.7273,35.28,44,0.4606,5,2,0.8546,2,0.37,0.0,0.0,0.2908,0.2483,0.0954,0.2517,0.3292,0.4606,58.84,High
SGR_ZONE_004,33.95554,74.77693,1639.53,1607.0,1689.0,1.49,5.15,0.0358,0.9991,0.01,0.0,10000.0,0.2893,0.4479,1,0.2094,0.626,0.727,Dense Brush,0.7762,91.57,0.5,13.27,11.92,5.08,1.83,0.0,69.22,0.2844,41,30,0.7317,31.67,41,0.4301,3,3,0.8414,1,0.2767,0.353,0.0,0.1406,0.2745,0.1928,0.3383,0.2645,0.4301,58.17,High
SGR_ZONE_005,33.95554,74.80642,1608.91,1595.0,1626.0,1.15,4.24,0.0278,1.0,0.02,0.0,10000.0,0.8992,0.5104,1,0.1317,0.4783,0.5533,Grassland,0.532,99.9,0.0,7.94,11.5,4.92,1.75,0.0,72.21,0.1716,41,32,0.7805,31.44,41,0.4122,3,5,0.814,3,0.3967,0.9552,0.4254,0.3973,0.3081,0.5876,0.2302,0.2998,0.4122,44.15,Medium
SGR_ZONE_006,33.95554,74.83591,1618.11,1597.0,1673.0,1.53,6.0,0.0339,0.8554,0.0425,0.0,10000.0,1.0,0.4896,1,0.1444,0.4947,0.5209,Grassland,0.5125,100.0,0.0,8.07,13.75,5.83,2.5,0.0,82.5,0.1526,39,28,0.7179,34.54,39,0.4332,3,0,0.7752,3,0.23,0.0,0.4097,0.2016,0.4962,0.2377,0.229,0.1851,0.4332,28.56,Medium
SGR_ZONE_007,33.95554,74.8654,1608.63,1587.0,1654.0,2.16,9.3,0.0413,0.8517,0.1931,0.0625,10000.0,0.6675,0.4479,1,0.214,0.5667,0.5277,Dense Brush,0.6566,81.68,1.42,4.42,28.67,10.83,1.75,0.0,79.86,0.1767,17,12,0.7059,30.25,17,0.2994,3,0,0.823,2,0.2033,0.309,0.8173,0.3619,0.0,0.4257,0.2998,0.2318,0.2994,29.01,Medium
SGR_ZONE_008,33.95554,74.89488,1588.1,1583.0,1596.0,1.02,3.61,0.0236,0.4849,0.2812,0.125,10000.0,0.4328,0.4062,1,0.2878,0.4245,0.4388,Grassland,0.4633,98.67,0.0,9.92,13.83,6.0,1.92,0.0,76.63,0.194,37,26,0.7027,31.54,37,0.4173,3,1,0.8789,2,0.2367,0.1008,0.0695,0.1961,0.0857,0.1082,0.2435,0.1854,0.4173,28.75,Medium
SGR_ZONE_009,33.95554,74.92437,1591.5,1582.0,1634.0,1.64,6.1,0.0324,0.2739,0.4475,0.1875,10000.0,0.3409,0.3021,1,0.3448,0.4961,0.5614,Grassland,0.5368,75.97,1.92,4.66,29.5,11.08,1.92,0.0,78.97,0.206,13,9,0.6923,26.22,13,0.2682,1,3,0.8067,3,0.23,0.0,0.5262,0.0,0.2893,0.2013,0.287,0.2099,0.2682,19.23,Low
SGR_ZONE_010,33.98108,74.64423,1925.44,1832.0,2100.0,4.91,17.68,0.114,0.3684,0.5513,0.1875,10000.0,0.575,0.1771,1,0.2932,0.5185,0.4998,Grassland,0.4999,91.47,0.42,7.38,20.33,7.75,2.17,0.0,80.67,0.1738,33,26,0.7879,30.23,33,0.3606,4,4,0.8545,5,0.4667,0.5337,0.4857,0.257,0.0,0.3839,0.2939,0.2744,0.3606,43.19,Medium
SGR_ZONE_011,33.98108,74.67372,1846.63,1776.0,1942.0,4.76,15.69,0.1031,0.4901,0.5894,0.25,10000.0,0.6891,0.1042,1,0.2751,0.7218,0.7827,Forest,0.8096,85.6,1.0,1.78,29.42,11.17,2.17,0.0,87.01,0.1057,45,38,0.8444,32.24,45,0.415,2,2,0.8697,3,0.2467,0.1837,0.4189,0.0,0.0,0.19,0.3934,0.1508,0.415,46.77,Medium
SGR_ZONE_012,33.98108,74.70321,1790.16,1721.0,1837.0,2.57,10.4,0.0675,0.6642,0.6306,0.25,10000.0,0.7695,0.1146,1,0.26,0.6227,0.6138,Dense Brush,0.7083,88.29,0.67,4.72,31.33,12.0,2.0,0.0,89.28,0.1303,38,29,0.7632,33.69,38,0.4089,8,3,0.8437,7,0.6867,0.3531,0.4812,0.4075,0.0,0.3494,0.3399,0.2854,0.4089,58.85,High
SGR_ZONE_013,33.98108,74.7327,1719.35,1634.0,1772.0,3.4,10.26,0.0704,0.3826,0.6875,0.3125,10000.0,0.7725,0.3021,1,0.3182,0.5858,0.6499,Dense Brush,0.7299,99.61,0.0,7.02,17.0,6.92,1.5,0.0,75.59,0.152,22,18,0.8182,27.89,22,0.2803,3,2,0.8531,4,0.3233,0.1968,0.3377,0.1556,0.3351,0.2516,0.3632,0.2062,0.2803,32.41,Medium
