Zone_ID,Coverage_Pct,Blind_Spots,Max_Gap_Hours,Patrols_Conducted,Night_Shifts,Vehicles_Available,Drones_Deployed,Readiness_Score,Patrol_Risk
SGR_ZONE_001,94.3,0.33,8.72,18.67,7.08,2.08,0.0,79.14,0.1886
SGR_ZONE_002,76.52,1.83,5.18,31.75,12.25,1.5,0.0,78.69,0.211
SGR_ZONE_003,93.38,0.42,21.37,8.0,3.67,2.33,0.0,70.86,0.3935
SGR_ZONE_004,91.57,0.5,13.27,11.92,5.08,1.83,0.0,69.22,0.2844
SGR_ZONE_005,99.9,0.0,7.94,11.5,4.92,1.75,0.0,72.21,0.1716
SGR_ZONE_006,100.0,0.0,8.07,13.75,5.83,2.5,0.0,82.5,0.1526
SGR_ZONE_007,81.68,1.42,4.42,28.67,10.83,1.75,0.0,79.86,0.1767
SGR_ZONE_008,98.67,0.0,9.92,13.83,6.0,1.92,0.0,76.63,0.194
SGR_ZONE_009,75.97,1.92,4.66,29.5,11.08,1.92,0.0,78.97,0.206
SGR_ZONE_010,91.47,0.42,7.38,20.33,7.75,2.17,0.0,80.67,0.1738
SGR_ZONE_011,85.6,1.0,1.78,29.42,11.17,2.17,0.0,87.01,0.1057
SGR_ZONE_012,88.29,0.67,4.72,31.33,12.0,2.0,0.0,89.28,0.1303
SGR_ZONE_013,99.61,0.0,7.02,17.0,6.92,1.5,0.0,75.59,0.152
SGR_ZONE_014,96.86,0.08,4.07,25.17,9.67,1.92,0.0,86.74,0.0942
SGR_ZONE_015,90.74,0.42,4.12,19.5,7.5,1.33,0.0,71.3,0.1465
SGR_ZONE_016,82.85,1.08,6.84,18.25,7.08,1.67,0.0,68.88,0.2234
SGR_ZONE_017,78.77,1.58,2.73,21.25,8.33,1.92,0.0,72.5,0.1768
SGR_ZONE_018,89.42,0.58,3.82,31.33,11.92,1.75,0.0,86.98,0.1176
SGR_ZONE_019,88.5,0.67,5.98,20.08,7.92,1.67,0.0,74.48,0.1778
SGR_ZONE_020,100.0,0.0,10.54,11.58,5.0,1.83,0.0,73.33,0.2071
SGR_ZONE_021,79.62,1.67,3.15,19.5,7.67,2.17,0.0,73.17,0.182
SGR_ZONE_022,88.87,0.75,4.94,23.83,9.33,1.92,0.0,81.22,0.1506
SGR_ZONE_023,78.73,1.67,4.69,29.5,11.25,2.0,0.0,81.91,0.1888
SGR_ZONE_024,89.4,0.67,4.28,23.58,9.25,1.75,0.0,79.68,0.141
SGR_ZONE_025,93.58,0.33,6.5,14.17,6.25,1.92,0.0,74.67,0.1666
SGR_ZONE_026,91.8,0.42,5.16,23.42,9.33,1.83,0.0,82.22,0.1376
SGR_ZONE_027,99.97,0.0,7.5,13.33,5.75,2.25,0.0,79.74,0.15
SGR_ZONE_028,87.17,0.75,2.06,26.0,10.08,2.25,0.0,86.12,0.1022
SGR_ZONE_029,81.93,1.33,10.03,12.5,5.33,1.67,0.0,62.76,0.2901
SGR_ZONE_030,96.57,0.25,9.98,6.92,3.33,2.17,0.0,69.79,0.2191
SGR_ZONE_031,82.96,1.17,2.47,23.33,9.25,1.58,0.0,74.44,0.1503
SGR_ZONE_032,81.23,1.33,7.03,23.58,9.25,2.08,0.0,78.42,0.2166
SGR_ZONE_033,94.27,0.25,5.49,23.33,9.17,1.75,0.0,82.22,0.1334
SGR_ZONE_034,94.71,0.25,3.19,26.25,10.08,2.08,0.0,87.96,0.0875
SGR_ZONE_035,73.8,2.08,5.42,29.5,11.25,2.25,0.0,81.58,0.2203
SGR_ZONE_036,93.09,0.25,6.85,23.92,9.42,2.33,0.0,88.32,0.1433
SGR_ZONE_037,93.34,0.42,11.93,13.33,5.67,1.92,0.0,72.67,0.2524
SGR_ZONE_038,92.08,0.33,4.93,34.0,12.92,2.42,0.0,95.58,0.105
SGR_ZONE_039,86.57,0.92,12.58,13.33,5.67,2.0,0.0,69.8,0.2937
SGR_ZONE_040,84.6,1.17,1.89,35.5,13.42,1.83,0.0,88.61,0.1103
SGR_ZONE_041,80.46,1.42,1.97,33.08,12.75,2.33,0.0,90.8,0.1217
SGR_ZONE_042,99.48,0.0,3.99,13.42,5.83,1.58,0.0,73.12,0.113
SGR_ZONE_043,87.02,0.92,5.67,17.0,7.08,1.83,0.0,72.55,0.1864
SGR_ZONE_044,99.62,0.0,8.42,12.33,5.42,1.75,0.0,73.59,0.1763
SGR_ZONE_045,85.49,0.92,6.07,25.25,9.5,2.0,0.0,80.87,0.1787
SGR_ZONE_046,93.9,0.5,12.85,10.25,4.5,1.75,0.0,67.58,0.2769
SGR_ZONE_047,88.15,0.75,2.98,23.58,9.25,2.25,0.0,84.0,0.118
SGR_ZONE_048,83.61,1.25,4.58,24.58,9.33,1.83,0.0,77.28,0.1763
SGR_ZONE_049,78.19,1.58,2.98,31.25,11.92,2.0,0.0,83.87,0.1589
SGR_ZONE_050,86.08,0.92,7.4,18.25,7.33,1.83,0.0,72.92,0.2128
SGR_ZONE_051,96.47,0.08,8.72,19.42,7.33,1.92,0.0,79.58,0.1771
SGR_ZONE_052,86.97,0.75,6.09,15.58,6.5,2.25,0.0,75.28,0.1831
SGR_ZONE_053,79.21,1.42,6.31,23.42,9.17,2.17,0.0,78.02,0.213
SGR_ZONE_054,75.66,2.0,1.75,32.58,12.5,1.75,0.0,81.27,0.1617
SGR_ZONE_055,100.0,0.0,7.97,15.58,6.58,1.58,0.0,75.58,0.165
SGR_ZONE_056,83.57,1.08,1.77,31.33,12.0,2.0,0.0,86.69,0.1123
SGR_ZONE_057,81.17,1.42,10.46,13.58,5.67,2.0,0.0,66.62,0.2923
SGR_ZONE_058,99.91,0.0,20.01,8.58,3.75,2.17,0.0,72.88,0.3462
SGR_ZONE_059,95.12,0.33,9.22,11.5,5.0,2.0,0.0,72.38,0.2079
SGR_ZONE_060,89.36,0.5,3.39,35.08,13.33,2.25,0.0,94.48,0.0943
SGR_ZONE_061,82.72,1.17,3.7,18.5,7.25,2.08,0.0,73.33,0.171
SGR_ZONE_062,98.23,0.0,6.38,15.83,6.83,1.83,0.0,78.14,0.1403
SGR_ZONE_063,99.77,0.0,11.6,9.5,4.33,2.08,0.0,73.74,0.2221
SGR_ZONE_064,88.75,0.67,11.8,12.92,5.5,2.17,0.0,72.33,0.2666
SGR_ZONE_065,100.0,0.0,6.67,9.92,4.42,1.67,0.0,69.92,0.1574
SGR_ZONE_066,89.34,0.67,8.85,17.75,7.0,2.25,0.0,77.91,0.2112
SGR_ZONE_067,92.33,0.5,10.46,15.25,6.33,2.08,0.0,75.78,0.2288
SGR_ZONE_068,82.65,1.25,2.77,30.25,11.42,2.08,0.0,85.64,0.1351
SGR_ZONE_069,78.67,1.75,2.75,30.58,11.67,1.92,0.0,82.13,0.1623
SGR_ZONE_070,95.3,0.33,8.41,9.58,4.17,1.67,0.0,66.62,0.2071
SGR_ZONE_071,83.06,1.0,5.52,29.92,11.42,2.0,0.0,85.3,0.1687
SGR_ZONE_072,84.71,1.17,3.3,17.0,6.92,1.92,0.0,71.48,0.1649
SGR_ZONE_073,80.17,1.42,5.79,22.75,8.83,2.25,0.0,78.24,0.203
SGR_ZONE_074,90.82,0.42,4.41,23.5,9.25,1.92,0.0,82.4,0.1283
SGR_ZONE_075,98.38,0.08,3.57,19.25,7.67,2.0,0.0,82.18,0.0931
SGR_ZONE_076,91.92,0.5,5.18,18.33,7.42,2.08,0.0,78.85,0.1466
SGR_ZONE_077,81.38,1.58,4.92,28.08,10.58,2.17,0.0,82.8,0.1829
SGR_ZONE_078,85.02,1.0,6.38,17.42,7.17,2.33,0.0,76.84,0.1944
SGR_ZONE_079,85.07,1.17,9.03,15.25,6.5,2.0,0.0,71.17,0.2483
SGR_ZONE_080,77.66,1.83,4.51,29.08,11.0,2.25,0.0,82.88,0.1905
SGR_ZONE_081,96.52,0.17,8.63,15.75,6.5,1.83,0.0,76.11,0.1848
SGR_ZONE_082,75.91,2.08,3.48,29.25,11.25,1.92,0.0,79.13,0.1927
SGR_ZONE_083,85.99,0.92,3.47,16.33,6.67,1.83,0.0,70.89,0.1597
SGR_ZONE_084,99.73,0.0,8.54,7.83,3.58,2.0,0.0,70.64,0.1838
SGR_ZONE_085,90.16,0.5,4.27,27.08,10.42,2.08,0.0,87.16,0.1201
SGR_ZONE_086,95.74,0.17,2.57,26.25,10.08,2.17,0.0,89.62,0.071
SGR_ZONE_087,99.83,0.0,7.62,13.67,6.0,2.17,0.0,79.6,0.1522
SGR_ZONE_088,90.38,0.58,7.9,13.33,5.83,1.58,0.0,68.31,0.2124
SGR_ZONE_089,99.63,0.0,6.83,8.58,3.92,1.67,0.0,68.27,0.1637
SGR_ZONE_090,89.28,0.5,4.67,34.67,13.17,2.17,0.0,93.63,0.1148
SGR_ZONE_091,94.33,0.25,4.48,25.25,9.75,2.42,0.0,90.64,0.1017
SGR_ZONE_092,75.35,2.08,2.93,23.75,9.25,2.17,0.0,75.4,0.1932
SGR_ZONE_093,87.58,0.75,6.31,18.33,7.08,2.5,0.0,79.77,0.1761
SGR_ZONE_094,88.53,0.67,10.3,15.67,6.58,1.83,0.0,72.15,0.2455
SGR_ZONE_095,81.61,1.33,8.89,18.67,7.33,2.33,0.0,75.33,0.2491
SGR_ZONE_096,73.93,2.08,5.76,23.33,9.17,2.08,0.0,73.72,0.2407
SGR_ZONE_097,100.0,0.0,12.51,11.75,5.08,2.42,0.0,79.42,0.2236
SGR_ZONE_098,83.42,1.08,3.38,22.0,8.42,2.25,0.0,78.93,0.1517
SGR_ZONE_099,100.0,0.0,9.88,11.17,4.92,1.75,0.0,72.25,0.1996
SGR_ZONE_100,79.33,1.58,5.38,15.5,6.42,2.25,0.0,70.33,0.2187
SGR_ZONE_101,98.49,0.0,7.62,14.83,6.33,2.08,0.0,79.23,0.1556
SGR_ZONE_102,80.17,1.33,5.98,27.25,10.5,1.83,0.0,79.24,0.2017
SGR_ZONE_103,100.0,0.0,13.77,11.33,5.08,1.83,0.0,73.58,0.2536
SGR_ZONE_104,84.03,1.17,4.38,23.08,9.08,2.0,0.0,78.53,0.168
SGR_ZONE_105,84.34,0.92,3.62,20.17,8.0,2.0,0.0,75.9,0.1552
SGR_ZONE_106,78.93,1.67,4.29,29.0,11.08,2.17,0.0,83.15,0.1801
SGR_ZONE_107,89.71,0.58,4.21,29.5,11.17,2.33,0.0,91.22,0.1141
SGR_ZONE_108,78.98,1.42,5.28,24.75,9.58,1.75,0.0,75.01,0.2044
SGR_ZONE_109,88.84,0.75,5.03,24.0,9.42,2.33,0.0,85.62,0.1432
SGR_ZONE_110,81.46,1.33,3.55,28.0,10.5,2.08,0.0,82.26,0.1577
SGR_ZONE_111,91.58,0.33,3.01,22.42,8.58,1.92,0.0,80.89,0.1073
SGR_ZONE_112,86.44,0.92,2.13,30.33,11.58,2.0,0.0,87.51,0.1061
SGR_ZONE_113,86.78,0.92,3.79,23.92,9.42,2.0,0.0,81.12,0.1424
SGR_ZONE_114,83.77,1.17,3.91,35.92,13.58,2.08,0.0,91.87,0.1349
SGR_ZONE_115,79.83,1.42,3.18,23.75,9.33,2.08,0.0,77.93,0.1662
SGR_ZONE_116,83.33,1.25,2.91,28.92,10.92,2.0,0.0,83.58,0.1399
SGR_ZONE_117,87.72,0.75,5.98,14.42,6.17,2.25,0.0,74.58,0.1814
SGR_ZONE_118,94.16,0.33,10.06,14.33,6.17,1.92,0.0,74.67,0.2174
SGR_ZONE_119,83.62,1.08,4.22,32.92,12.5,1.92,0.0,87.95,0.1455
SGR_ZONE_120,84.97,1.0,2.48,31.25,11.83,2.17,0.0,88.42,0.1143
SGR_ZONE_121,80.42,1.42,4.9,32.42,12.42,2.25,0.0,88.8,0.1684
SGR_ZONE_122,85.27,1.0,3.48,19.17,7.33,2.08,0.0,74.94,0.1552
SGR_ZONE_123,75.17,2.0,5.97,27.67,10.42,2.08,0.0,78.16,0.2304
SGR_ZONE_124,95.13,0.08,8.75,17.5,7.0,2.17,0.0,80.55,0.1783
SGR_ZONE_125,82.43,1.25,4.52,17.42,7.17,1.92,0.0,71.15,0.19
SGR_ZONE_126,97.0,0.17,23.13,6.58,3.33,2.0,0.0,68.47,0.4106
SGR_ZONE_127,99.91,0.0,9.32,13.17,5.58,1.83,0.0,75.05,0.1861
SGR_ZONE_128,84.54,1.08,4.96,30.67,11.58,1.92,0.0,85.58,0.1591
SGR_ZONE_129,98.16,0.0,6.29,18.5,7.42,2.0,0.0,81.52,0.1324
SGR_ZONE_130,91.77,0.25,2.31,27.92,10.58,2.5,0.0,92.58,0.0712
SGR_ZONE_131,99.74,0.0,5.67,17.25,7.0,1.92,0.0,80.07,0.1231
SGR_ZONE_132,85.64,1.08,2.65,35.83,13.67,2.08,0.0,92.74,0.109
SGR_ZONE_133,87.2,0.83,2.02,27.33,10.5,2.0,0.0,84.72,0.1064
SGR_ZONE_134,79.99,1.58,2.53,35.0,13.33,2.08,0.0,88.92,0.1387
SGR_ZONE_135,85.01,1.08,3.79,30.58,11.5,2.33,0.0,89.31,0.1337
SGR_ZONE_136,100.0,0.0,5.01,11.92,5.0,1.75,0.0,72.5,0.128
SGR_ZONE_137,92.62,0.5,11.49,8.08,3.58,2.42,0.0,70.97,0.2529
SGR_ZONE_138,88.43,0.58,2.17,24.33,9.5,2.0,0.0,82.71,0.1039
SGR_ZONE_139,77.58,1.58,2.98,31.17,11.92,1.92,0.0,82.78,0.1624
SGR_ZONE_140,93.91,0.33,3.68,17.17,7.08,1.75,0.0,75.64,0.1229
SGR_ZONE_141,76.48,1.83,5.67,24.92,9.58,2.17,0.0,77.34,0.221
SGR_ZONE_142,77.29,1.83,3.28,24.0,9.42,2.17,0.0,77.16,0.1848
SGR_ZONE_143,99.65,0.0,9.89,13.0,5.58,2.25,0.0,79.11,0.1867
SGR_ZONE_144,77.97,1.75,2.24,29.42,11.08,2.0,0.0,80.92,0.1587
SGR_ZONE_145,84.92,0.92,4.67,14.42,6.25,1.67,0.0,67.57,0.1861
SGR_ZONE_146,78.44,1.5,5.58,28.08,10.67,2.08,0.0,81.22,0.1996
SGR_ZONE_147,93.0,0.33,18.04,7.92,3.42,2.5,0.0,71.77,0.3419
SGR_ZONE_148,80.31,1.42,3.02,29.83,11.33,1.92,0.0,82.45,0.1539
SGR_ZONE_149,89.33,0.5,1.78,30.75,11.58,2.17,0.0,90.65,0.0785
SGR_ZONE_150,88.25,0.75,5.94,16.75,7.0,1.92,0.0,73.98,0.1809
