Event_ID,Zone_ID,Sensor_ID,Sensor_Type,Reading,Timestamp
SNS_EVT_00001,SGR_ZONE_103,SNS_SEI_103_01,Seismic,0.8286,2026-08-21 20:35:39
SNS_EVT_00002,SGR_ZONE_131,SNS_VIB_131_02,Vibration,0.2873,2026-08-21 21:43:24
SNS_EVT_00003,SGR_ZONE_049,SNS_ACO_049_03,Acoustic,0.8731,2026-08-21 11:54:51
SNS_EVT_00004,SGR_ZONE_064,SNS_MOT_064_03,Motion,0.2525,2026-08-21 13:49:57
SNS_EVT_00005,SGR_ZONE_009,SNS_INF_009_01,Infrared,0.2158,2026-08-21 02:13:16
SNS_EVT_00006,SGR_ZONE_050,SNS_SEI_050_02,Seismic,0.1015,2026-08-21 11:33:09
SNS_EVT_00007,SGR_ZONE_014,SNS_SEI_014_01,Seismic,0.181,2026-08-21 12:40:28
SNS_EVT_00008,SGR_ZONE_015,SNS_VIB_015_01,Vibration,0.7557,2026-08-21 07:34:34
SNS_EVT_00009,SGR_ZONE_033,SNS_ACO_033_01,Acoustic,0.2433,2026-08-21 00:47:54
SNS_EVT_00010,SGR_ZONE_062,SNS_VIB_062_03,Vibration,0.0533,2026-08-21 02:00:04
SNS_EVT_00011,SGR_ZONE_142,SNS_ACO_142_01,Acoustic,0.1547,2026-08-21 16:51:31
SNS_EVT_00012,SGR_ZONE_132,SNS_VIB_132_03,Vibration,0.2097,2026-08-21 18:21:27
SNS_EVT_00013,SGR_ZONE_066,SNS_INF_066_01,Infrared,0.1988,2026-08-21 10:57:54
SNS_EVT_00014,SGR_ZONE_092,SNS_MOT_092_03,Motion,0.1911,2026-08-21 02:38:05
SNS_EVT_00015,SGR_ZONE_137,SNS_VIB_137_01,Vibration,0.2868,2026-08-21 08:51:48
SNS_EVT_00016,SGR_ZONE_062,SNS_MOT_062_02,Motion,0.0444,2026-08-21 01:27:53
SNS_EVT_00017,SGR_ZONE_087,SNS_VIB_087_04,Vibration,0.211,2026-08-21 22:03:54
SNS_EVT_00018,SGR_ZONE_123,SNS_MOT_123_03,Motion,0.1512,2026-08-21 15:32:08
SNS_EVT_00019,SGR_ZONE_124,SNS_ACO_124_02,Acoustic,0.3393,2026-08-21 18:19:31
SNS_EVT_00020,SGR_ZONE_052,SNS_MOT_052_01,Motion,0.6735,2026-08-21 17:22:30
SNS_EVT_00021,SGR_ZONE_042,SNS_ACO_042_03,Acoustic,0.3663,2026-08-21 15:11:04
SNS_EVT_00022,SGR_ZONE_037,SNS_ACO_037_03,Acoustic,0.1824,2026-08-21 23:32:23
SNS_EVT_00023,SGR_ZONE_116,SNS_ACO_116_01,Acoustic,0.3869,2026-08-21 21:34:15
SNS_EVT_00024,SGR_ZONE_068,SNS_MOT_068_02,Motion,0.5403,2026-08-21 00:47:11
SNS_EVT_00025,SGR_ZONE_115,SNS_VIB_115_03,Vibration,0.2345,2026-08-21 00:04:59
SNS_EVT_00026,SGR_ZONE_061,SNS_ACO_061_04,Acoustic,0.2823,2026-08-21 20:05:34
SNS_EVT_00027,SGR_ZONE_124,SNS_MOT_124_01,Motion,0.1897,2026-08-21 20:31:22
SNS_EVT_00028,SGR_ZONE_067,SNS_INF_067_01,Infrared,0.4694,2026-08-21 14:21:22
SNS_EVT_00029,SGR_ZONE_127,SNS_ACO_127_02,Acoustic,0.2663,2026-08-21 09:54:25
SNS_EVT_00030,SGR_ZONE_099,SNS_INF_099_01,Infrared,0.1483,2026-08-21 07:45:15
SNS_EVT_00031,SGR_ZONE_142,SNS_SEI_142_03,Seismic,0.8304,2026-08-21 21:57:57
SNS_EVT_00032,SGR_ZONE_086,SNS_MOT_086_04,Motion,0.0327,2026-08-21 06:03:05
