Zone_ID,Motion_Score,Infrared_Score,Acoustic_Score,Seismic_Score,Sensor_Activity_Score
SGR_ZONE_001,0.0,0.375,0.5147,0.3542,0.2686
SGR_ZONE_002,0.5939,0.379,0.6278,0.2439,0.4837
SGR_ZONE_003,0.0,0.0,0.2908,0.2483,0.0954
SGR_ZONE_004,0.353,0.0,0.1406,0.2745,0.1928
SGR_ZONE_005,0.9552,0.4254,0.3973,0.3081,0.5876
SGR_ZONE_006,0.0,0.4097,0.2016,0.4962,0.2377
SGR_ZONE_007,0.309,0.8173,0.3619,0.0,0.4257
SGR_ZONE_008,0.1008,0.0695,0.1961,0.0857,0.1082
SGR_ZONE_009,0.0,0.5262,0.0,0.2893,0.2013
SGR_ZONE_010,0.5337,0.4857,0.257,0.0,0.3839
SGR_ZONE_011,0.1837,0.4189,0.0,0.0,0.19
SGR_ZONE_012,0.3531,0.4812,0.4075,0.0,0.3494
SGR_ZONE_013,0.1968,0.3377,0.1556,0.3351,0.2516
SGR_ZONE_014,0.7006,0.0,0.1299,0.2591,0.3101
SGR_ZONE_015,0.1895,0.4947,0.473,0.9054,0.4451
SGR_ZONE_016,0.2284,0.3136,0.3754,0.1952,0.2784
SGR_ZONE_017,0.32,0.3058,0.3078,0.1834,0.2928
SGR_ZONE_018,0.3589,0.4491,0.1945,0.6502,0.3968
SGR_ZONE_019,0.1881,0.3901,0.0,0.0,0.1829
SGR_ZONE_020,0.0777,0.6183,0.0679,0.0855,0.2391
SGR_ZONE_021,0.2493,0.7171,0.4635,0.2073,0.4262
SGR_ZONE_022,0.0,0.2,0.4636,0.165,0.1775
SGR_ZONE_023,0.4736,0.225,0.4326,0.2238,0.3533
SGR_ZONE_024,0.4584,0.227,0.097,0.382,0.3052
SGR_ZONE_025,0.0517,0.2401,0.4695,0.1115,0.2007
SGR_ZONE_026,0.2463,0.5121,0.0758,0.2842,0.2976
SGR_ZONE_027,0.0,0.1144,0.6709,0.2066,0.1995
SGR_ZONE_028,0.1229,0.2409,0.0,0.1388,0.1361
SGR_ZONE_029,0.3044,0.4092,0.3711,0.7097,0.41
SGR_ZONE_030,0.3932,0.3162,0.0,0.0,0.2325
SGR_ZONE_031,0.5896,0.2904,0.3548,0.6081,0.4557
SGR_ZONE_032,0.8958,0.6294,0.1198,0.0,0.5263
SGR_ZONE_033,0.0,0.0,0.5275,0.1678,0.1307
SGR_ZONE_034,0.3184,0.367,0.3744,0.3952,0.3557
SGR_ZONE_035,0.4383,0.0,0.4428,0.5582,0.3257
SGR_ZONE_036,0.3077,0.3858,0.5706,0.4133,0.3995
SGR_ZONE_037,0.7796,0.2202,0.3892,0.5261,0.4957
SGR_ZONE_038,0.3528,0.3538,0.2808,0.522,0.3641
SGR_ZONE_039,0.0,0.5059,0.4308,0.0,0.2379
SGR_ZONE_040,0.4055,0.0,0.4406,0.0,0.23
