Zone_ID,Latitude,Longitude,Avg_Elevation,Min_Elevation,Max_Elevation,Avg_Slope,Max_Slope,Terrain_Risk
SGR_ZONE_001,33.066667,74.1,662.64,306,1088,8.5,61.87,0.1133
SGR_ZONE_002,33.066667,74.301389,639.45,328,1119,8.2,61.78,0.1093
SGR_ZONE_003,33.066667,74.501389,689.94,323,1149,6.45,63.44,0.086
SGR_ZONE_004,33.066667,74.701389,674.95,346,1952,9.5,114.2,0.1267
SGR_ZONE_005,33.066667,74.901389,1079.43,341,2614,14.0,90.95,0.1946
SGR_ZONE_006,33.066667,75.101389,1558.03,651,2508,13.99,69.81,0.2424
SGR_ZONE_007,33.066667,75.301389,1787.39,750,2802,13.29,57.27,0.2559
SGR_ZONE_008,33.066667,75.501389,2001.14,736,3593,16.57,51.97,0.321
SGR_ZONE_009,33.066667,75.701389,1954.82,846,3042,14.08,78.11,0.2832
SGR_ZONE_010,33.066667,75.901389,2248.28,1124,3370,18.86,82.98,0.3763
SGR_ZONE_011,33.201389,74.1,812.52,487,1329,7.1,30.7,0.0947
SGR_ZONE_012,33.201389,74.301389,796.16,507,1376,7.22,28.38,0.0963
SGR_ZONE_013,33.201389,74.501389,926.14,548,1479,9.5,41.38,0.1267
SGR_ZONE_014,33.201389,74.701389,1273.48,410,2222,16.22,103.36,0.2436
SGR_ZONE_015,33.201389,74.901389,1372.25,396,2982,16.63,88.08,0.259
SGR_ZONE_016,33.201389,75.101389,1377.31,503,2726,16.33,61.52,0.2555
SGR_ZONE_017,33.201389,75.301389,1675.72,654,3295,16.8,82.22,0.2916
SGR_ZONE_018,33.201389,75.501389,2121.59,782,3601,16.53,48.58,0.3325
SGR_ZONE_019,33.201389,75.701389,2030.65,861,3464,17.03,61.01,0.3302
SGR_ZONE_020,33.201389,75.901389,2699.25,938,4611,19.71,74.73,0.4327
SGR_ZONE_021,33.334722,74.1,1005.28,644,1676,8.09,38.28,0.1084
SGR_ZONE_022,33.334722,74.301389,1014.17,725,1673,8.04,32.5,0.1086
SGR_ZONE_023,33.334722,74.501389,1497.69,830,2803,12.99,59.53,0.223
SGR_ZONE_024,33.334722,74.701389,1752.65,860,2603,14.84,78.36,0.2731
SGR_ZONE_025,33.334722,74.901389,1978.21,608,3659,18.32,114.06,0.3421
SGR_ZONE_026,33.334722,75.101389,2288.05,686,4231,19.89,69.52,0.394
SGR_ZONE_027,33.334722,75.301389,2480.67,1187,4053,17.79,59.79,0.3852
SGR_ZONE_028,33.334722,75.501389,3021.66,1915,4133,16.89,64.9,0.4274
SGR_ZONE_029,33.334722,75.701389,2108.78,1038,3711,17.0,89.51,0.3376
SGR_ZONE_030,33.334722,75.901389,2655.8,1252,4272,21.72,69.46,0.4551
SGR_ZONE_031,33.468056,74.1,1267.97,636,2028,11.68,69.67,0.1826
SGR_ZONE_032,33.468056,74.301389,1409.15,955,2308,10.67,38.85,0.1832
SGR_ZONE_033,33.468056,74.501389,2687.4,1138,4305,14.95,79.7,0.3681
SGR_ZONE_034,33.468056,74.701389,3191.59,1393,4625,16.93,111.36,0.4449
SGR_ZONE_035,33.468056,74.901389,3238.09,1411,4546,15.9,83.9,0.4359
SGR_ZONE_036,33.468056,75.101389,2779.25,1559,4469,15.69,73.78,0.3871
SGR_ZONE_037,33.468056,75.301389,2578.73,1571,3737,16.45,45.3,0.3772
SGR_ZONE_038,33.468056,75.501389,2965.81,1506,4336,17.79,53.45,0.4338
SGR_ZONE_039,33.468056,75.701389,2537.15,1184,4039,20.51,115.16,0.4272
SGR_ZONE_040,33.468056,75.901389,3150.12,1553,5241,21.49,65.8,0.5016
SGR_ZONE_041,33.601389,74.1,1179.42,754,1969,9.95,50.78,0.1506
SGR_ZONE_042,33.601389,74.301389,1759.78,1030,2966,12.91,82.12,0.2481
SGR_ZONE_043,33.601389,74.501389,3254.64,1714,4473,16.38,82.46,0.4438
SGR_ZONE_044,33.601389,74.701389,3303.7,2154,4551,13.67,55.32,0.4127
SGR_ZONE_045,33.601389,74.901389,2290.36,1745,3901,6.82,45.3,0.22
SGR_ZONE_046,33.601389,75.101389,1911.72,1616,3360,6.38,33.05,0.1762
SGR_ZONE_047,33.601389,75.301389,2100.69,1676,3096,9.03,38.2,0.2305
SGR_ZONE_048,33.601389,75.501389,3334.56,2184,4408,15.4,52.32,0.4388
SGR_ZONE_049,33.601389,75.701389,3211.08,1937,4442,17.03,61.0,0.4482
SGR_ZONE_050,33.601389,75.901389,3820.3,1937,5659,20.97,94.09,0.5617
SGR_ZONE_051,33.734722,74.1,1308.44,835,2254,11.88,46.62,0.1892
SGR_ZONE_052,33.734722,74.301389,2145.63,1139,3791,16.6,109.91,0.3359
SGR_ZONE_053,33.734722,74.501389,3714.11,2049,4670,14.45,123.29,0.4641
SGR_ZONE_054,33.734722,74.701389,2614.9,1970,4231,6.95,39.51,0.2541
SGR_ZONE_055,33.734722,74.901389,1873.41,1601,2262,2.15,20.3,0.116
SGR_ZONE_056,33.734722,75.101389,1622.62,1588,1745,1.39,18.17,0.0808
SGR_ZONE_057,33.734722,75.301389,2037.06,1625,3337,8.65,54.65,0.219
SGR_ZONE_058,33.734722,75.501389,3435.93,2293,4383,16.78,53.65,0.4673
SGR_ZONE_059,33.734722,75.701389,3426.94,2154,4739,19.42,83.75,0.5016
SGR_ZONE_060,33.734722,75.901389,3964.08,2397,5459,18.66,72.06,0.5452
SGR_ZONE_061,33.868056,74.1,1825.05,1042,2997,14.61,71.55,0.2773
SGR_ZONE_062,33.868056,74.301389,2597.89,1397,4307,17.38,107.11,0.3915
SGR_ZONE_063,33.868056,74.501389,3389.82,2045,4561,9.15,56.68,0.361
SGR_ZONE_064,33.868056,74.701389,2129.13,1638,2863,5.89,51.3,0.1915
SGR_ZONE_065,33.868056,74.901389,1676.69,1584,1998,1.82,19.01,0.0919
SGR_ZONE_066,33.868056,75.101389,1775.65,1585,2922,5.52,54.33,0.1512
SGR_ZONE_067,33.868056,75.301389,2466.84,1667,4425,12.22,62.43,0.3096
SGR_ZONE_068,33.868056,75.501389,3550.61,2462,4531,17.16,66.24,0.4838
SGR_ZONE_069,33.868056,75.701389,4038.0,3087,5087,17.55,62.6,0.5379
SGR_ZONE_070,33.868056,75.901389,4319.43,3052,5380,16.03,84.2,0.5457
SGR_ZONE_071,34.001389,74.1,2477.88,1362,3655,16.89,95.27,0.3729
SGR_ZONE_072,34.001389,74.301389,3193.94,1905,4297,14.8,61.49,0.4167
SGR_ZONE_073,34.001389,74.501389,2415.32,1607,4154,7.83,41.11,0.246
SGR_ZONE_074,34.001389,74.701389,1733.64,1578,2153,2.72,19.53,0.1096
SGR_ZONE_075,34.001389,74.901389,1641.08,1577,2632,3.06,48.09,0.1049
SGR_ZONE_076,34.001389,75.101389,2394.61,1620,4079,12.87,103.59,0.3111
SGR_ZONE_077,34.001389,75.301389,3111.51,1933,4809,17.09,69.52,0.439
SGR_ZONE_078,34.001389,75.501389,3934.2,2669,5087,17.55,65.04,0.5274
SGR_ZONE_079,34.001389,75.701389,4317.44,3277,5554,17.36,94.51,0.5632
SGR_ZONE_080,34.001389,75.901389,4700.89,3292,5987,15.08,98.82,0.5712
SGR_ZONE_081,34.134722,74.1,2119.4,1176,3967,17.64,65.35,0.3471
SGR_ZONE_082,34.134722,74.301389,2228.11,1512,3493,11.52,55.0,0.2764
SGR_ZONE_083,34.134722,74.501389,1728.09,1573,2322,2.76,16.62,0.1095
SGR_ZONE_084,34.134722,74.701389,1582.82,1567,1664,1.39,12.08,0.0768
SGR_ZONE_085,34.134722,74.901389,2062.65,1575,3932,10.21,53.3,0.2423
SGR_ZONE_086,34.134722,75.101389,3518.42,2107,4629,16.09,97.66,0.4664
SGR_ZONE_087,34.134722,75.301389,3690.74,2311,5241,17.5,73.41,0.5024
SGR_ZONE_088,34.134722,75.501389,4034.17,2723,5348,18.0,104.08,0.5435
SGR_ZONE_089,34.134722,75.701389,4507.56,3303,5882,17.29,79.77,0.5812
SGR_ZONE_090,34.134722,75.901389,4124.21,3164,5548,16.9,70.69,0.5378
SGR_ZONE_091,34.268056,74.1,3059.95,1830,4288,15.65,54.87,0.4147
SGR_ZONE_092,34.268056,74.301389,1875.49,1564,3339,6.15,53.0,0.1696
SGR_ZONE_093,34.268056,74.501389,1588.01,1558,1766,1.39,10.63,0.0773
SGR_ZONE_094,34.268056,74.701389,1889.68,1571,3589,6.56,53.67,0.1765
SGR_ZONE_095,34.268056,74.901389,2411.62,1601,3830,15.22,58.38,0.3441
SGR_ZONE_096,34.268056,75.101389,3241.46,1918,4576,17.22,72.5,0.4537
SGR_ZONE_097,34.268056,75.301389,3686.78,2366,5155,18.44,92.61,0.5146
SGR_ZONE_098,34.268056,75.501389,4114.87,2822,5373,18.85,89.4,0.5628
SGR_ZONE_099,34.268056,75.701389,4684.25,3625,5833,16.2,81.0,0.5844
SGR_ZONE_100,34.268056,75.901389,4112.41,2881,5586,16.11,71.35,0.5261
SGR_ZONE_101,34.401389,74.1,2305.64,1641,3820,9.46,40.67,0.2566
SGR_ZONE_102,34.401389,74.301389,1698.06,1580,2593,4.95,32.9,0.1358
SGR_ZONE_103,34.401389,74.501389,1875.24,1571,3016,7.32,48.44,0.1852
SGR_ZONE_104,34.401389,74.701389,2288.26,1573,4098,11.74,49.02,0.2854
SGR_ZONE_105,34.401389,74.901389,3619.43,2145,4955,15.73,65.8,0.4716
SGR_ZONE_106,34.401389,75.101389,3867.35,2472,4831,16.8,75.9,0.5107
SGR_ZONE_107,34.401389,75.301389,4171.45,3119,5163,18.5,79.08,0.5638
SGR_ZONE_108,34.401389,75.501389,4229.59,3210,5412,18.32,79.7,0.5672
SGR_ZONE_109,34.401389,75.701389,3904.65,3045,5422,17.32,99.63,0.5214
SGR_ZONE_110,34.401389,75.901389,3947.48,2843,5363,16.55,99.18,0.5154
SGR_ZONE_111,34.534722,74.1,2302.31,1657,3659,11.1,49.9,0.2783
SGR_ZONE_112,34.534722,74.301389,1906.15,1594,2968,9.3,55.9,0.2146
SGR_ZONE_113,34.534722,74.501389,2618.4,1698,3799,13.96,48.44,0.3479
SGR_ZONE_114,34.534722,74.701389,3132.13,1738,4223,16.03,51.16,0.4269
SGR_ZONE_115,34.534722,74.901389,3572.71,2480,4501,15.56,66.14,0.4647
SGR_ZONE_116,34.534722,75.101389,3426.12,2575,4792,17.73,68.49,0.479
SGR_ZONE_117,34.534722,75.301389,4008.8,2843,5205,18.12,63.51,0.5425
SGR_ZONE_118,34.534722,75.501389,4417.57,3480,5303,16.23,96.29,0.5582
SGR_ZONE_119,34.534722,75.701389,4525.51,3292,5281,13.89,78.92,0.5378
SGR_ZONE_120,34.534722,75.901389,4164.7,2690,5576,18.48,106.36,0.5629
SGR_ZONE_121,34.668056,74.1,2719.27,1619,3857,18.83,76.51,0.423
SGR_ZONE_122,34.668056,74.301389,2852.06,1829,3912,17.09,65.4,0.4131
SGR_ZONE_123,34.668056,74.501389,3174.97,2210,4049,15.67,50.56,0.4264
SGR_ZONE_124,34.668056,74.701389,3097.6,2245,4093,16.4,50.92,0.4285
SGR_ZONE_125,34.668056,74.901389,3166.92,2392,4387,17.49,67.86,0.4499
SGR_ZONE_126,34.668056,75.101389,3871.22,2674,4638,14.43,66.92,0.4795
SGR_ZONE_127,34.668056,75.301389,4204.19,3430,4952,14.13,77.96,0.5088
SGR_ZONE_128,34.668056,75.501389,4137.25,3247,5028,15.2,94.26,0.5164
SGR_ZONE_129,34.668056,75.701389,3892.55,2987,5191,16.32,82.38,0.5069
SGR_ZONE_130,34.668056,75.901389,4002.4,2744,5278,16.86,86.9,0.5251
SGR_ZONE_131,34.801389,74.1,3193.4,1799,4460,18.97,108.96,0.4723
SGR_ZONE_132,34.801389,74.301389,2856.48,1856,4460,19.52,101.72,0.4459
SGR_ZONE_133,34.801389,74.501389,3131.21,1980,4674,18.75,89.38,0.4631
SGR_ZONE_134,34.801389,74.701389,3446.67,2192,4652,17.85,54.58,0.4827
SGR_ZONE_135,34.801389,74.901389,3790.49,2551,4645,16.6,54.64,0.5004
SGR_ZONE_136,34.801389,75.101389,3782.84,2688,4649,15.94,62.44,0.4908
SGR_ZONE_137,34.801389,75.301389,4033.81,3294,4866,10.2,56.92,0.4394
SGR_ZONE_138,34.801389,75.501389,4427.25,3551,5144,12.79,76.49,0.5133
SGR_ZONE_139,34.801389,75.701389,4275.9,3249,5248,15.48,95.69,0.5339
SGR_ZONE_140,34.801389,75.901389,4678.51,3638,5320,14.77,126.73,0.5648
SGR_ZONE_141,34.934722,74.1,3801.18,2065,4572,16.12,95.06,0.495
SGR_ZONE_142,34.934722,74.301389,3700.04,2152,4930,17.8,113.65,0.5074
SGR_ZONE_143,34.934722,74.501389,3852.33,2239,4945,17.57,103.17,0.5195
SGR_ZONE_144,34.934722,74.701389,4146.44,3134,4926,15.99,90.91,0.5279
SGR_ZONE_145,34.934722,74.901389,3789.8,2860,4721,17.69,70.74,0.5149
SGR_ZONE_146,34.934722,75.101389,4160.76,3382,4893,13.33,51.62,0.4939
SGR_ZONE_147,34.934722,75.301389,4082.63,3760,4466,4.6,24.79,0.3696
SGR_ZONE_148,34.934722,75.501389,4219.3,3709,5091,7.92,60.52,0.4276
SGR_ZONE_149,34.934722,75.701389,4750.82,4144,5368,12.61,74.56,0.5432
SGR_ZONE_150,34.934722,75.901389,4653.03,3109,5626,15.91,67.19,0.5774
