Zone_ID,NDVI,Vegetation_Density,Land_Cover,Vegetation_Risk
SGR_ZONE_001,0.4897,0.5318,Grassland,0.5191
SGR_ZONE_002,0.5185,0.6465,Grassland,0.5879
SGR_ZONE_003,0.4645,0.4992,Grassland,0.4995
SGR_ZONE_004,0.626,0.727,Dense Brush,0.7762
SGR_ZONE_005,0.4783,0.5533,Grassland,0.532
SGR_ZONE_006,0.4947,0.5209,Grassland,0.5125
SGR_ZONE_007,0.5667,0.5277,Dense Brush,0.6566
SGR_ZONE_008,0.4245,0.4388,Grassland,0.4633
SGR_ZONE_009,0.4961,0.5614,Grassland,0.5368
SGR_ZONE_010,0.5185,0.4998,Grassland,0.4999
SGR_ZONE_011,0.7218,0.7827,Forest,0.8096
SGR_ZONE_012,0.6227,0.6138,Dense Brush,0.7083
SGR_ZONE_013,0.5858,0.6499,Dense Brush,0.7299
SGR_ZONE_014,0.5485,0.6221,Grassland,0.5733
SGR_ZONE_015,0.6029,0.6486,Dense Brush,0.7291
SGR_ZONE_016,0.6122,0.7661,Dense Brush,0.7996
SGR_ZONE_017,0.6678,0.6817,Dense Brush,0.749
SGR_ZONE_018,0.7423,0.7554,Forest,0.7933
SGR_ZONE_019,0.6997,0.6717,Dense Brush,0.743
SGR_ZONE_020,0.5823,0.6503,Dense Brush,0.7302
SGR_ZONE_021,0.7521,0.8358,Forest,0.8415
SGR_ZONE_022,0.6871,0.7408,Dense Brush,0.7845
SGR_ZONE_023,0.5804,0.6024,Dense Brush,0.7014
SGR_ZONE_024,0.663,0.7821,Dense Brush,0.8093
SGR_ZONE_025,0.7274,0.712,Forest,0.7672
SGR_ZONE_026,0.7248,0.778,Forest,0.8068
SGR_ZONE_027,0.6426,0.7374,Dense Brush,0.7824
SGR_ZONE_028,0.7759,0.9001,Forest,0.8801
SGR_ZONE_029,0.622,0.6687,Dense Brush,0.7412
SGR_ZONE_030,0.7103,0.8301,Forest,0.838
