Zone_ID,Temperature,Humidity,Pressure,Visibility,Wind_Speed,Clouds,Visibility_Risk,Weather_Risk
SGR_ZONE_001,0.6764,0.3081,0.125,10000.0,0.7935,0.2396,1,0.1944
SGR_ZONE_002,0.8987,0.1931,0.0625,10000.0,0.6429,0.2396,1,0.1763
SGR_ZONE_003,0.9384,0.0938,0.0625,10000.0,0.2947,0.3125,1,0.2201
SGR_ZONE_004,0.9991,0.01,0.0,10000.0,0.2893,0.4479,1,0.2094
SGR_ZONE_005,1.0,0.02,0.0,10000.0,0.8992,0.5104,1,0.1317
SGR_ZONE_006,0.8554,0.0425,0.0,10000.0,1.0,0.4896,1,0.1444
SGR_ZONE_007,0.8517,0.1931,0.0625,10000.0,0.6675,0.4479,1,0.214
SGR_ZONE_008,0.4849,0.2812,0.125,10000.0,0.4328,0.4062,1,0.2878
SGR_ZONE_009,0.2739,0.4475,0.1875,10000.0,0.3409,0.3021,1,0.3448
SGR_ZONE_010,0.3684,0.5513,0.1875,10000.0,0.575,0.1771,1,0.2932
SGR_ZONE_011,0.4901,0.5894,0.25,10000.0,0.6891,0.1042,1,0.2751
SGR_ZONE_012,0.6642,0.6306,0.25,10000.0,0.7695,0.1146,1,0.26
SGR_ZONE_013,0.3826,0.6875,0.3125,10000.0,0.7725,0.3021,1,0.3182
SGR_ZONE_014,0.4185,0.7288,0.375,10000.0,0.8782,0.375,1,0.3224
SGR_ZONE_015,0.2249,0.8169,0.4375,10000.0,0.9922,0.4688,1,0.3469
SGR_ZONE_016,0.352,0.8394,0.4375,10000.0,0.9448,0.4479,1,0.3436
SGR_ZONE_017,0.296,0.9119,0.5,10000.0,0.8739,0.4271,1,0.3757
SGR_ZONE_018,0.2454,0.9688,0.5,10000.0,0.8157,0.3958,1,0.4007
SGR_ZONE_019,0.333,1.0,0.5625,10000.0,0.6171,0.5,1,0.4366
SGR_ZONE_020,0.3503,1.0,0.5625,10000.0,0.6345,0.5833,1,0.4513
SGR_ZONE_021,0.3057,0.9644,0.5625,10000.0,0.7065,0.7396,1,0.4718
SGR_ZONE_022,0.2111,0.9587,0.625,10000.0,0.7473,0.7917,1,0.4588
SGR_ZONE_023,0.2206,0.9219,0.6875,10000.0,0.7731,0.7917,1,0.4511
SGR_ZONE_024,0.3591,0.8694,0.8125,10000.0,0.6981,0.6875,1,0.4269
SGR_ZONE_025,0.085,0.77,0.9375,10000.0,0.3608,0.5417,1,0.4541
SGR_ZONE_026,0.3297,0.6675,1.0,10000.0,0.2521,0.4583,1,0.4275
SGR_ZONE_027,0.5594,0.6306,1.0,10000.0,0.3031,0.4688,1,0.3955
SGR_ZONE_028,0.5361,0.625,1.0,10000.0,0.2809,0.5208,1,0.3989
SGR_ZONE_029,0.0,0.6194,0.75,10000.0,0.3655,0.6875,1,0.4602
SGR_ZONE_030,0.0991,0.6138,0.5625,10000.0,0.4418,0.8437,1,0.4596
SGR_ZONE_031,0.2562,0.5425,0.375,10000.0,0.3776,0.9687,1,0.4591
SGR_ZONE_032,0.1996,0.5212,0.25,10000.0,0.3697,1.0,1,0.4708
SGR_ZONE_033,0.2175,0.5156,0.25,10000.0,0.425,0.9583,1,0.4579
SGR_ZONE_034,0.5735,0.4944,0.25,10000.0,0.4238,0.8542,1,0.3936
SGR_ZONE_035,0.5373,0.4888,0.3125,10000.0,0.5042,0.8021,1,0.3807
SGR_ZONE_036,0.1542,0.3862,0.3125,10000.0,0.53,0.7292,1,0.3842
SGR_ZONE_037,0.2045,0.3181,0.3125,10000.0,0.3187,0.6771,1,0.3804
SGR_ZONE_038,0.0584,0.25,0.375,10000.0,0.4958,0.5937,1,0.3469
SGR_ZONE_039,0.085,0.2444,0.375,10000.0,0.7779,0.4479,1,0.2834
SGR_ZONE_040,0.1765,0.3013,0.375,10000.0,0.8439,0.2708,1,0.2401
SGR_ZONE_041,0.2408,0.3237,0.375,10000.0,0.8193,0.1042,1,0.2314
SGR_ZONE_042,0.2922,0.4119,0.375,10000.0,0.6855,0.0,1,0.2528
SGR_ZONE_043,0.215,0.4375,0.375,10000.0,0.5582,0.0104,1,0.2633
SGR_ZONE_044,0.2203,0.4319,0.375,10000.0,0.563,0.1667,1,0.2889
SGR_ZONE_045,0.0,0.4106,0.375,10000.0,0.6224,0.3229,1,0.327
SGR_ZONE_046,0.1529,0.3237,0.3125,10000.0,0.5792,0.4479,1,0.3193
SGR_ZONE_047,0.2863,0.3181,0.3125,10000.0,0.5,0.4062,1,0.3149
SGR_ZONE_048,0.3757,0.3281,0.375,10000.0,0.2695,0.2708,1,0.3268
SGR_ZONE_049,0.4203,0.3225,0.375,10000.0,0.0,0.2083,1,0.3477
SGR_ZONE_050,0.1791,0.3481,0.3125,10000.0,0.1597,0.3125,1,0.3546
SGR_ZONE_051,0.6964,0.3081,0.125,10000.0,0.8535,0.2396,1,0.1944
SGR_ZONE_052,0.9187,0.1931,0.0625,10000.0,0.6129,0.2396,1,0.1763
SGR_ZONE_053,0.9584,0.0938,0.0625,10000.0,0.2647,0.3125,1,0.2201
SGR_ZONE_054,1.0,0.01,0.0,10000.0,0.3493,0.4479,1,0.2094
SGR_ZONE_055,1.0,0.02,0.0,10000.0,0.8692,0.5104,1,0.1317
SGR_ZONE_056,0.8754,0.0425,0.0,10000.0,1.0,0.4896,1,0.1444
SGR_ZONE_057,0.7317,0.1931,0.0625,10000.0,0.7275,0.4479,1,0.214
SGR_ZONE_058,0.5049,0.2812,0.125,10000.0,0.4028,0.4062,1,0.2878
SGR_ZONE_059,0.2939,0.4475,0.1875,10000.0,0.3109,0.3021,1,0.3448
SGR_ZONE_060,0.3884,0.5513,0.1875,10000.0,0.635,0.1771,1,0.2932
SGR_ZONE_061,0.5101,0.5894,0.25,10000.0,0.6591,0.1042,1,0.2751
SGR_ZONE_062,0.6842,0.6306,0.25,10000.0,0.7395,0.1146,1,0.26
