Feature,Mean_SHAP_Importance
Camera_Activity_Score,0.02284
Vegetation_Density,0.01685
Vegetation_Risk,0.015619
Night_Event_Count,0.01429
Avg_Slope,0.01286
Historical_Risk,0.012841
NDVI,0.012007
Avg_Elevation,0.011959
Terrain_Risk,0.011897
Max_Elevation,0.011313
Successful_Detection_Count,0.009916
Historical_Event_Count,0.008763
Max_Gap_Hours,0.008587
Max_Slope,0.008542
Min_Elevation,0.008329
Patrol_Risk,0.007878
Humidity,0.007111
Night_Movement_Count,0.006173
Weather_Risk,0.006095
Clouds,0.006085
Human_Detection_Count,0.006078
Patrols_Conducted,0.006076
Avg_Camera_Confidence,0.006069
Sensor_Activity_Score,0.006054
Coverage_Pct,0.005967
Infrared_Score,0.005922
Motion_Score,0.005851
Blind_Spots,0.005437
Night_Shifts,0.005245
Average_Response_Time,0.004747
Wind_Speed,0.004581
Pressure,0.004507
Readiness_Score,0.004273
Acoustic_Score,0.003925
Detection_Rate,0.00384
Seismic_Score,0.00342
Temperature,0.003173
Vehicle_Detection_Count,0.001906
Vehicles_Available,0.001856
Drones_Deployed,0.0
Visibility,0.0
Visibility_Risk,0.0
